user_label,seed,nclass_user,n_gs,weight,color
cbfunky,0,42,0,1,#41C927
pavon,0,42,0,1,#8DBE31
not-logged-in-b268012632f9237d0fef_7a60953a584e3fa50d05e92d286114daffe55f101ad7a1e3e766750cb0e2d559,0,42,0,1,#3E3E3E
RPGprayer,0,42,0,1,#ED9B42
not-logged-in-21df47f153e86a3e3e41_dcb5e3d80bb46676d5b6816be3367596a91ef9f408d7029e03698b5e003e4304,0,41,0,1,#292929
Jseagle,0,41,0,1,#E3372B
not-logged-in-759a6f0bfdc4f3a69f44_1733cb996589a31c0079e6cddf1ecd28f7f0c560b6293e256adba35f4d0fb6e8,0,40,0,1,#4A4A4A
PLANKTON27,0,40,0,1,#736B90
not-logged-in-bff567fba1e029df94fc_fa86798b86006e1f74f8e00c3b499e334d2c2a0ff377cf25404e958d591044be,0,40,0,1,#848484
a-ikiso,0,40,0,1,#6D48A0
not-logged-in-73fb9443ef8afce6ed87_d5ddb2f91414358ab139464e4306f5fcad1a4a1e76c45c9b91e57bb82bc89fe5,0,39,0,1,#949494
avenger300,0,39,0,1,#ED2429
AlexPro,0,39,0,1,#BB3EB0
not-logged-in-20430a5aaab3a51eb16b_8f78b48a7a04e081deb1c816c3f122f7f4a0fac679959f5868ef3e74ba52a876,0,39,0,1,#707070
HD139139,0,39,0,1,#89C45B
TonyMagny,0,38,0,1,#6804D1
kesstun,0,38,0,1,#1212A0
not-logged-in-1e04aa66215d2c3454df_767be8f32291fc02b6dc135b085a33d530e6c4239ad83aa36b8d033252ee1aa9,0,38,0,1,#939393
YuanFang,0,38,0,1,#A61DD6
ironrev_3000,0,38,0,1,#837FDF
mspohn,0,37,0,1,#0D72AD
Marijke,0,37,0,1,#C3F35B
Andrej2019,0,37,0,1,#57BA30
Uhoh_Jodie,0,37,0,1,#D5CB50
Alya83,0,37,0,1,#A37024
MrLouie,0,37,0,1,#1C6976
not-logged-in-fad510f7b797d08b3fc0_5012b99d0e32ab9ff39c7778457491de6f06fea988284c1f967694d968947d55,0,37,0,1,#7C7C7C
HAFSNT,0,36,0,1,#338C5F
HeerMann,0,36,0,1,#76F32D
not-logged-in-2f2b8783b17ddfd80741_a168ebd4f9c169718d1ae8ef6803d598ab7a59d6fabb55b271eec2ba999b499c,0,36,0,1,#454545
not-logged-in-b359b1a9d8e206bfa3b4_41105ccf0232788ec35033b13c9973d19cbb666799c792e6f8d94731988a6b65,0,36,0,1,#878787
not-logged-in-a8a51d4ac54cd8b9a171_255120d6413de2d2aec3a4302f34b956774305038dfe4731c4a93a6e817d1bba,0,36,0,1,#7C7C7C
not-logged-in-ccec40b571438bc21536_d485f44804adf9d86b0f825bfb3dcf3992389dac5ac9252f403cb8e784ff6433,0,36,0,1,#767676
not-logged-in-5163f49c0598a44daf59_021b47334b341f44a1f80f46d139a62c1d8763453e3c788f3717f926370d1831,0,36,0,1,#282828
VitalyK42,0,35,0,1,#875E71
iulia112,0,35,0,1,#85D9B7
Zebrafinch17,0,35,0,1,#0F9037
jayton,0,35,0,1,#48BF11
not-logged-in-0fb4605450cf6b76946d_38c954e2999e432a8b8f64de27343c06cbc2831228443a2f72da07d638d125cc,0,35,0,1,#949494
idya,0,35,0,1,#B6B547
not-logged-in-f8b13e896d4284c86353_1b4b06821b2282c3b9dbbb3516545072cc8c71b99977a311c2b8f1df9788422c,0,35,0,1,#3F3F3F
havard.skj,0,34,0,1,#25C06F
not-logged-in-df8112dbff2579befe2a_3fbb8c752b9c8d7ca5b39d8efa1d8e50a35c21ea0ec54f2cbec87bbac3a63ad2,0,34,0,1,#777777
dgpkd,0,34,0,1,#938708
Terminal67,0,34,0,1,#D80192
not-logged-in-fa340cb0f0c2f87e443a_78c7c008f9d5c6c3ef0289c2c4ffddc43898df0f7601e8ac6c8f764a529aba00,0,34,0,1,#2B2B2B
Tiwen,0,34,0,1,#55FBB0
ArcticMonkeys,0,33,0,1,#1DEC89
Taylorneilson88,0,33,0,1,#841D28
not-logged-in-9b5457f2f7fc029cf0d7_93b0c058682b8f5233a564e9d64cea339f55b5c2ccad6705b04df1bba67e6355,0,33,0,1,#3B3B3B
not-logged-in-57e584dba06de833270b_9759da442cf4a6f28fe74b3d6f2de4f5370f25bc23216ba01722ef744e780f66,0,33,0,1,#3F3F3F
not-logged-in-bb9a1affbb92c1b6bd2d_8aea4f82b43fb58df3ab1795531516a404c88c77408a3dd17ed4bc9a5a2fcbe6,0,33,0,1,#696969
not-logged-in-702976aee968edf20048_f5e37a4cf9e56a423dab313045ecc0560d85def32c4874c65d29d11ece86722f,0,33,0,1,#1B1B1B
not-logged-in-8599356afbab57841333_9bea9643abebe36264adb03a0499e2851c0d1c2317c0f19e43f6fbace649c162,0,33,0,1,#1C1C1C
amateurleisure,0,32,0,1,#D2AF94
