user_label,seed,nclass_user,n_gs,weight,color
bpumphre,0.0,93,0,1.0,#313312
Tabitha-Anne,0.0,92,0,1.0,#6AB051
gguilbau,0.0,91,0,1.0,#218450
not-logged-in-63e5a18cc1742ff66988_ee6a3e82314a43144a8e42538c93e016eb9579de191df042574c726225d86f9a,0.0,91,0,1.0,#2F2F2F
not-logged-in-ea40561ccff9f5c59587_03ae6146f3d79ef2d0c2c8d24d696a6d04bc8aefbe76300b6572dfa1d4b9408d,0.0,91,0,1.0,#676767
Humanparser,0.0,91,0,1.0,#7BE0C5
Neplim,0.0,89,0,1.0,#6AE299
not-logged-in-a341e723d3e663d81471_376a5e719bf34f2f4afcf5f37a1a2e78abd977423a88d3ecfb31844737d4087c,0.0,89,0,1.0,#343434
not-logged-in-5991206e929c890d4d87_60d55a224b2d228e0c2b3890489f7721499ee5b851048882575c6df070ddbf1a,0.0,88,0,1.0,#747474
Ionepositivo,0.0,88,0,1.0,#661BF1
zjansen,0.0,88,0,1.0,#7A27A4
tonyclayton,0.0,88,0,1.0,#F27DD9
not-logged-in-50708c0eb991e9d680ec_fc415ae9f9bdd1cf61230c1aad7b99c53a13d0abd44bf3a698214b168e48c8b0,0.0,88,0,1.0,#494949
WillinWinchester,0.0,87,0,1.0,#9D52F6
dawells,0.0,86,0,1.0,#AEB37E
Phil_Barraclough,0.0,86,0,1.0,#DC1965
not-logged-in-5991206e929c890d4d87_149c3608d9d31b695e7f403682c489359a9ef674290e0be5c2e96fe89d46b551,0.0,86,0,1.0,#8C8C8C
not-logged-in-b15845715412117a1d97_11774b23a51644de4aa4641406d4c25f37ac45ebcf187a22de773eb07a2d291d,0.0,86,0,1.0,#474747
not-logged-in-5991206e929c890d4d87_9d4194a6f401c1b76c3aedab3473330909fb384d8ca5a703d6537501a723d8c3,0.0,85,0,1.0,#606060
not-logged-in-5ccb260d21190deb7573_b07b655c56dd2f0f31ec59a0c7b12caf06ca36b705461cb3db9b59fcfbdef084,0.0,85,0,1.0,#797979
PolarGazer,0.0,85,0,1.0,#8585D9
not-logged-in-f3cef4177302f5c2dbe0_6ffd7e06b3ce47f337a0466d7fe9ace40bbd74f7ea326163e843496572a888f7,0.0,85,0,1.0,#4B4B4B
HarrP,0.0,84,0,1.0,#D09EAE
Ehsanrahimi,0.0,84,0,1.0,#C9AF87
kbee333,0.0,83,0,1.0,#ACFA95
shotguna,0.0,83,0,1.0,#25961D
Helios_07,0.0,83,0,1.0,#537000
not-logged-in-8cf20c75712799f1ad94_3a69bf3671d9762073ecf3e3c5dd34cba8128fdb1c558b99ac69bb18b632b11b,0.0,83,0,1.0,#8E8E8E
ishando,0.0,83,0,1.0,#F6D984
Aethalin,0.0,83,0,1.0,#F5B40A
kzimany,0.0,82,0,1.0,#A3B3B2
Delboyuk,0.0,82,0,1.0,#4340AE
not-logged-in-f1877c0220b659f7be71_423a1a741beeb69d32fb402db03daa152b26436376a383209ceb44f122a23c63,0.0,81,0,1.0,#434343
sagersh,0.0,81,0,1.0,#250117
Valerii_Korshunov,0.0,80,0,1.0,#B10475
BludGeonT,0.0,80,0,1.0,#59146C
MarkAWest,0.0,80,0,1.0,#519461
venatrix,0.0,79,0,1.0,#380A3E
inahurry,0.0,78,0,1.0,#F93308
rjohnson42,0.0,78,0,1.0,#0F75F5
Davidrfloyd,0.0,78,0,1.0,#F2552D
little_squirrel,0.0,77,0,1.0,#F41B70
ffoont,0.0,77,0,1.0,#44A55A
robertmartin,0.0,76,0,1.0,#CC0937
rosemarybillington,0.0,75,0,1.0,#FDE5A7
vanrenter,0.0,75,0,1.0,#08C34D
not-logged-in-05d819df83638e472b22_3534210a0977520459101421a78d214cc9f43f413758bb6534e524636bb3c6de,0.0,75,0,1.0,#373737
not-logged-in-e79d62ef251346a3c60a_88c3992726cb4ff1d0d62833263ff728b20f5852dcc9067da0d4417e8c9da402,0.0,74,0,1.0,#686868
Ratheskeller,0.0,74,0,1.0,#6FAE49
WazzieB,0.0,74,0,1.0,#4908A4
not-logged-in-5991206e929c890d4d87_9ddafd0e74a4018c511303dc81b489c0c98727086786d859754799f607284a1e,0.0,74,0,1.0,#929292
chrisclements989,0.0,74,0,1.0,#9C420E
AdrienCoffinet,0.0,74,0,1.0,#C25919
Isabelle_bourgeois,0.0,73,0,1.0,#03F3A5
jlrsalvo,0.0,73,0,1.0,#90E0C5
not-logged-in-b7401b25853c6253d82a_bd8bac3892788e1d8fedb427ec8e3232acc38415d55515e62ff3431d7df601fa,0.0,73,0,1.0,#717171
robnz,0.0,73,0,1.0,#08A4CF
LSKE1929,0.0,73,0,1.0,#089FF6
not-logged-in-2837b8278b396cd486c9_b3640ca1c6b8e499434b46aceda5fd15c53b0c1c057104b08f741553ac864abe,0.0,72,0,1.0,#3B3B3B
fluffymonkey000,0.0,70,0,1.0,#108DD7
not-logged-in-ad7231c6fc9160271da7_7879f4c76e0b536948055b624d1db7d92430376b1fefd8fc5cda945ddf68fce9,0.0,70,0,1.0,#222222
not-logged-in-5991206e929c890d4d87_45f5ed501ff36f6459e6b8ec27b23ba74e9bb814df5b1ca6a747cad4a383e14d,0.0,70,0,1.0,#252525
not-logged-in-5991206e929c890d4d87_73cb153e6e47032458db0d47ad05b8acb0da026275368918f63c39f7fb3a07db,0.0,70,0,1.0,#828282
Budgieye,0.0,70,0,1.0,#0E26EF
Mike_Tunstall,0.0,69,0,1.0,#988483
Staceyann116,0.0,69,0,1.0,#338446
not-logged-in-12a79b9f9f95e852ca49_e95744c7143e04969d73f6c0e645309fc1f4ceb15fab394f3e58d17a75969be2,0.0,69,0,1.0,#7E7E7E
NityJMD,0.0,68,0,1.0,#2E89F3
mjadexna,0.0,67,0,1.0,#D74035
Koraahr,0.0,67,0,1.0,#95B8E2
cometman1998,0.0,67,0,1.0,#7BE5DE
BirdLeaf,0.0,67,0,1.0,#F361C6
ronvel,0.0,67,0,1.0,#0F65FD
not-logged-in-5991206e929c890d4d87_7d88e7c0499416d5f7ec10e37c460e716de9262fcf1a53b07088b901157fbfac,0.0,66,0,1.0,#909090
not-logged-in-5991206e929c890d4d87_e699dd370c2dc6bc642e4ba0c38b20bddfc376a1bf82b63060deb6b345689e22,0.0,66,0,1.0,#4F4F4F
satoru,0.0,66,0,1.0,#B5C966
hardan,0.0,66,0,1.0,#77033C
Chinabob,0.0,66,0,1.0,#4565D6
astroscott,0.0,65,0,1.0,#D92B1B
uranu,0.0,65,0,1.0,#FCD309
knowldo,0.0,65,0,1.0,#58C42D
leelaht,0.0,65,0,1.0,#F34F7F
not-logged-in-86ae802e8be94d77532d_09abd58c063b18cfa948e46207db2f422d84d7c80a851840279a34a554d6f611,0.0,65,0,1.0,#949494
MaXoN,0.0,65,0,1.0,#23697C
not-logged-in-7d8571186439317454ed_67e4d621301f84a2e2a53b7f0a43bcc7e19230e0dfd4f3d70b9d216a3d8b5ae1,0.0,65,0,1.0,#292929
madsmile,0.0,64,0,1.0,#D4BC0B
ffa,0.0,64,0,1.0,#8D03F7
not-logged-in-ac49db9034c7169866c4_5fb942f656f3ba43de8fa46d81a845bd77282bb45f509773c67227c4bf996056,0.0,64,0,1.0,#6E6E6E
7clem,0.0,64,0,1.0,#005AA4
starchild2012,0.0,63,0,1.0,#9E4CE3
not-logged-in-8fc298cf1156b28d5879_9155f669cbefbd118f95faba035cb9fa528b9f58c01b8b8adfa31f3eb011a85e,0.0,63,0,1.0,#6A6A6A
not-logged-in-5991206e929c890d4d87_a14e477596744b625adcecdf23bd5d5c6e588a0ef246f8a525174480ec4ab128,0.0,63,0,1.0,#242424
aspringer,0.0,63,0,1.0,#399273
lasunncty,0.0,62,0,1.0,#14C998
deepskyhunter,0.0,62,0,1.0,#E2BEA5
g_ciobotari,0.0,62,0,1.0,#950E7B
not-logged-in-4bd45ab1a9d5475f4ff0_77aa36de2dbf8e7996789c7ba1a5511d9dda9846a815e9dcc9c29b1b6dd18ed6,0.0,62,0,1.0,#3D3D3D
Alirichar,0.0,61,0,1.0,#C996AB
not-logged-in-720c0e9dcee91f0ab15e_d7941c5d43a3077b9d2384aa7839385f126bd90041aecf7698d14f5145a7e274,0.0,61,0,1.0,#727272
not-logged-in-cd0c471e5cf8a50e15a9_c6789c76acd77f3ff419e65666fe01cf57c530b4b15167f04d6cdfe8016ce683,0.0,61,0,1.0,#1C1C1C
not-logged-in-5991206e929c890d4d87_24f9029b9c29b667797c76b8fa250301333bb074f7e711f358f744216eae8425,0.0,61,0,1.0,#424242
not-logged-in-5d2a853fdaea422b2638_31d0af101396d9f552d0a9a9eb84c203a993582d65e90f6529d15bc18e4fcc71,0.0,60,0,1.0,#2F2F2F
not-logged-in-0d4224e5758dd5d77c81_f3cd10fc08f61a21749feec43f0d29d9a1acd743addc9d5ddc5482bf4dd2f8ee,0.0,60,0,1.0,#676767
bobby_likes_pesticide01,0.0,60,0,1.0,#043539
Trixpix,0.0,60,0,1.0,#8A719C
Carolyn01,0.0,60,0,1.0,#8E7435
not-logged-in-8b4faa91bd2b7cf4f953_ce6dcfa8cea594f0313fd7d5ec8e157e610518755c34ba26e079df947d6e373c,0.0,60,0,1.0,#545454
OpaDon,0.0,59,0,1.0,#5417F6
vickmack,0.0,59,0,1.0,#E1240C
Solarneutrino,0.0,59,0,1.0,#B01A78
not-logged-in-3d6b1162ee93af53ae09_8ddda2025f426da4df6b58b00b988aa243b64d438391b87cd85f5e75460edc4b,0.0,59,0,1.0,#6D6D6D
not-logged-in-34f6f9f8eaca53327317_72bb373c34e374e040b77bdd60b63ec361b8552c215563be413e4e17a69e810c,0.0,59,0,1.0,#656565
Jackhedge,0.0,59,0,1.0,#C92629
not-logged-in-c3973cb292efc29a9361_184d7ec11cdb68204ade9eb5c6ca075de30ab967bc3abe03710079f39e6908e8,0.0,59,0,1.0,#191919
Boddert,0.0,59,0,1.0,#028706
karthikeyan.d,0.0,58,0,1.0,#117045
DKogelman,0.0,58,0,1.0,#0FF3C6
not-logged-in-5a85912390be0a81e245_da2ac4795bc19a5150b20a2d3a0af2c01474e960f19564a0db809391639e4f46,0.0,58,0,1.0,#777777
Yoloxer,0.0,58,0,1.0,#7C81FE
Ashrw,0.0,58,0,1.0,#16D540
aniedzialek,0.0,57,0,1.0,#D35B6E
not-logged-in-ab8ce8e4ea79a63f4391_31e780fae265eebedaeccb54774162e659cb0092fd38793934dc0563e8458cb6,0.0,57,0,1.0,#888888
Parcjura,0.0,57,0,1.0,#2D0DD4
albertotoso,0.0,57,0,1.0,#561A38
JeniceTheDragon,0.0,57,0,1.0,#E2760A
jkpeter,0.0,57,0,1.0,#8B910E
not-logged-in-30ca352c7e402b64de0f_e2f3822562a0d785f160fd7d47d56733146f153099d963aabe3a47f3581b77ec,0.0,56,0,1.0,#4A4A4A
algwat,0.0,56,0,1.0,#6426FD
jumpy26,0.0,56,0,1.0,#A80BEF
